job_salary
136,3.5k-4.5k
137,18.0k-28.0k
138,6.0k-8.0k
139,3.0k-4.5k
140,15.0k-30.0k
141,10.0k-15.0k
142,4.5k-6.0k
143,8.0k-15.0k
144,16.67k-25.0k
145,8.0k-10.0k
146,25.0k-40.0k
147,8.0k-12.0k
148,10.0k-15.0k
149,7.0k-10.0k
150,15.0k-20.0k
151,6.0k-8.0k
152,4.5k-6.0k
153,10.0k-15.0k
154,15.0k-20.0k
155,
156,6.0k
157,5.0k-7.0k
158,4.0k-6.0k
159,8.0k-10.0k
160,12.5k-16.67k
161,6.0k-8.0k
162,3.0k-4.5k
163,8.0k-10.0k
164,6.0k-6.5k
165,25.0k-40.0k
166,4.0k-6.0k
167,3.0k-4.5k
168,4.0k-6.0k
169,4.5k-6.0k
170,3.0k-5.0k
171,3.0k-6.0k
172,3.0k-4.5k
173,8.0k-10.0k
174,12.0k-20.0k
175,10.0k-15.0k
176,4.5k-6.0k
177,7.0k-10.0k
178,3.5k-5.0k
179,11.67k-33.33k
180,10.0k-15.0k
181,16.0k-24.0k
182,12.0k-18.0k
183,13.0k-20.0k
184,4.0k-6.0k
185,4.5k-6.5k
186,6.0k-10.0k
187,4.5k-6.0k
188,3.0k-4.5k
189,4.0k-6.0k
190,4.0k-6.0k
191,6.0k-8.0k
192,8.33k-12.5k
193,3.5k-4.5k
194,8.0k-10.0k
195,8.0k-13.0k
196,3.0k-4.5k
197,6.0k-10.0k
198,6.0k-7.0k
199,5.0k-10.0k
200,4.0k-6.0k
201,3.0k-5.0k
202,8.0k-10.0k
203,15.0k-20.0k
204,12.0k-20.0k
205,5.9k-6.0k
206,3.0k-5.0k
207,6.0k-8.0k
208,8.0k-14.0k
209,20.0k-40.0k
210,15.0k-25.0k
211,10.0k-18.0k
212,12.0k-18.0k
213,5.0k-10.0k
214,8.0k-10.0k
215,10.0k-15.0k
216,5.0k-8.0k
217,15.0k-25.0k
218,25.0k-30.0k
219,4.5k-6.0k
220,8.0k-12.0k
221,4.5k-6.0k
222,4.5k-6.0k
223,3.5k-6.0k
224,4.5k-6.0k
225,4.5k-6.0k
226,8.0k-10.0k
227,6.0k-12.0k
228,6.0k-10.0k
229,4.0k-6.0k
230,3.0k-4.5k
231,10.0k-20.0k
232,4.0k-4.5k
233,10.0k-15.0k
234,4.5k-6.0k
235,15.0k-30.0k
236,15.0k-20.0k
237,4.5k-6.0k
238,6.0k-10.0k
239,3.5k-5.0k
240,4.0k-6.0k
241,5.0k-6.0k
242,15.0k-25.0k
243,5.0k-6.0k
244,7.0k-12.0k
245,41.67k-50.0k
246,2.0k-3.0k
247,12.0k-20.0k
248,12.5k-25.0k
249,10.0k-20.0k
250,3.5k-6.0k
251,21.0k-35.0k
252,15.0k-20.0k
253,7.0k-12.0k
254,8.0k-12.0k
255,35.0k-50.0k
256,10.0k-20.0k
257,8.0k-10.0k
258,8.0k-10.0k
259,3.0k-4.0k
260,5.0k-7.0k
261,15.0k-20.0k
262,15.0k-25.0k
263,4.0k-8.0k
264,7.5k-16.67k
265,10.0k-15.0k
266,15.0k-20.0k
267,6.0k-13.0k
268,10.0k-15.0k
269,15.0k-21.0k
270,18.0k-20.0k
271,5.0k-7.0k
272,3.0k-4.0k
273,15.0k-25.0k
274,10.0k-15.0k
275,6.0k-8.0k
276,5.0k-7.0k
277,6.0k-8.0k
278,4.0k-8.0k
279,10.0k-20.0k
280,8.0k-15.0k
281,30.0k-60.0k
282,10.0k-12.0k
283,6.0k-8.0k
284,7.0k-15.0k
285,4.0k-8.0k
286,4.0k-8.0k
287,8.0k-15.0k
288,10.0k-15.0k
289,7.5k-16.67k
290,12.5k-25.0k
291,20.83k-37.5k
292,15.0k-20.0k
293,6.0k-9.0k
294,10.0k-15.0k
295,4.0k-5.0k
296,10.0k-15.0k
297,5.0k-7.0k
298,8.0k-15.0k
299,5.0k-8.0k
300,20.0k-30.0k
301,4.5k-5.5k
302,6.0k-10.0k
303,8.0k-10.0k
304,15.0k-20.0k
305,8.0k-10.0k
306,13.0k-26.0k
307,13.0k-25.0k
308,12.0k-18.0k
309,10.0k-15.0k
310,4.5k-6.0k
311,15.0k-20.0k
312,4.5k-5.0k
313,4.0k-6.0k
314,6.0k-9.0k
315,6.0k-8.0k
316,5.0k-8.0k
317,12.0k-15.0k
318,8.0k-10.0k
319,8.0k-10.0k
320,30.0k-40.0k
321,10.0k-15.0k
322,3.0k-4.5k
323,10.0k-15.0k
324,7.0k-12.0k
325,10.0k-18.0k
326,3.0k-4.0k
327,5.0k-8.0k
328,4.5k-6.0k
329,6.0k-8.0k
330,10.0k-15.0k
331,15.0k-20.0k
332,4.5k-6.0k
333,15.0k-25.0k
334,15.0k-20.0k
335,6.0k-20.0k
336,15.0k-20.0k
337,20.0k-40.0k
338,16.67k-25.0k
339,10.0k-12.0k
340,10.0k-15.0k
341,12.5k-16.67k
342,10.0k-20.0k
343,20.0k-25.0k
344,22.0k-30.0k
345,12.0k-17.0k
346,25.0k-35.0k
347,8.0k-10.0k
348,7.0k-10.0k
349,16.67k-25.0k
350,4.0k-8.0k
351,10.0k-30.0k
352,3.0k-4.5k
353,
354,15.0k-20.0k
355,15.0k-25.0k
356,5.0k-8.0k
357,16.67k-25.0k
358,
359,10.0k-15.0k
360,4.5k-6.0k
361,6.0k-8.0k
362,5.0k-10.0k
363,6.0k-8.0k
364,10.0k-15.0k
365,25.0k-33.33k
366,7.0k-15.0k
367,4.0k-5.0k
368,15.0k-25.0k
369,4.0k-6.0k
370,15.0k-20.0k
371,8.0k-10.0k
372,3.0k-4.5k
373,15.0k-20.0k
374,10.0k-12.0k
375,4.0k-5.0k
376,8.0k-10.0k
377,6.0k-8.0k
378,4.5k-6.0k
379,6.0k-8.0k
380,15.0k-25.0k
381,4.0k-7.0k
382,6.0k
383,3.3k-4.5k
384,6.0k-8.0k
385,5.5k-8.0k
386,3.0k-4.5k
387,20.0k-40.0k
388,3.5k-6.0k
389,3.0k-4.5k
390,10.0k-15.0k
391,10.0k-15.0k
392,4.5k-7.0k
393,16.67k-41.67k
394,10.0k-20.0k
395,35.0k-55.0k
396,15.0k-20.0k
397,5.0k-8.0k
398,15.0k-20.0k
399,13.0k-18.0k
400,16.0k-30.0k
401,15.0k-20.83k
402,10.0k-15.0k
403,4.0k-8.0k
404,13.0k-20.0k
405,10.0k-15.0k
406,3.0k-4.5k
407,12.0k-20.0k
408,4.5k-6.0k
409,4.0k-6.0k
410,12.0k-20.0k
411,4.5k-6.0k
412,8.0k-12.0k
413,8.0k-15.0k
414,5.0k-8.0k
415,15.0k-20.0k
416,4.0k-6.0k
417,6.0k-8.0k
418,6.0k-8.0k
419,3.5k-5.0k
420,15.0k-30.0k
421,15.0k-20.0k
422,15.0k-25.0k
423,6.0k-8.0k
424,3.0k-4.5k
425,6.0k-10.0k
426,10.0k-20.0k
427,12.0k-20.0k
428,5.5k-8.5k
429,4.5k-5.5k
430,6.67k-12.5k
431,3.0k-4.5k
432,20.0k-40.0k
433,40.0k-60.0k
434,13.0k-30.0k
435,15.0k-30.0k
436,3.0k-4.5k
437,8.0k-10.0k
438,3.0k-5.0k
439,4.0k-8.0k
