job_year,job_education
636,本科,无学历要求
637,在校生/应届生,本科
638,本科,无学历要求
639,本科,无学历要求
640,本科,无学历要求
641,2年经验,高中
642,2年经验,中专
643,3-4年经验,本科
644,1年经验,硕士
645,2年经验,大专
646,1年经验,本科
647,1年经验,大专
648,3-4年经验,大专
649,无需经验,本科
650,3-4年经验,本科
651,大专,无学历要求
652,1年经验,大专
653,1年经验,本科
654,在校生/应届生,大专
655,在校生/应届生,本科
656,2年经验,本科
657,本科,无学历要求
658,在校生/应届生,本科
659,2年经验,本科
660,1年经验,大专
661,2年经验,本科
662,在校生/应届生,大专
663,在校生/应届生,本科
664,2年经验,本科
665,2年经验,本科
666,2年经验,大专
667,在校生/应届生,大专
668,5-7年经验,本科
669,1年经验,大专
670,8-9年经验,本科
671,在校生/应届生,无学历要求
672,1年经验,大专
673,2年经验,大专
674,大专,招2人
675,无需经验,大专
676,1年经验,大专
677,1年经验,大专
678,在校生/应届生,中专
679,5-7年经验,大专
680,1年经验,本科
681,2年经验,本科
682,2年经验,本科
683,1年经验,本科
684,2年经验,大专
685,3-4年经验,本科
686,3-4年经验,无学历要求
687,3-4年经验,本科
688,2年经验,本科
689,在校生/应届生,无学历要求
690,在校生/应届生,无学历要求
691,3-4年经验,本科
692,2年经验,本科
693,1年经验,硕士
694,3-4年经验,大专
695,1年经验,大专
696,1年经验,本科
697,2年经验,大专
698,1年经验,大专
699,大专,无学历要求
700,5-7年经验,本科
701,2年经验,本科
702,3-4年经验,本科
703,2年经验,本科
704,2年经验,本科
705,2年经验,本科
706,3-4年经验,本科
707,2年经验,本科
708,2年经验,本科
709,3-4年经验,大专
710,5-7年经验,本科
711,5-7年经验,本科
712,5-7年经验,本科
713,2年经验,本科
714,3-4年经验,本科
715,1年经验,大专
716,2年经验,大专
717,无需经验,大专
718,2年经验,本科
719,3-4年经验,本科
720,3-4年经验,大专
721,无需经验,本科
722,3-4年经验,本科
723,3-4年经验,本科
724,2年经验,大专
725,2年经验,本科
726,3-4年经验,本科
727,5-7年经验,本科
728,8-9年经验,本科
729,无需经验,本科
730,1年经验,本科
731,在校生/应届生,高中
732,3-4年经验,大专
733,1年经验,大专
734,5-7年经验,本科
735,8-9年经验,本科
736,在校生/应届生,本科
737,1年经验,本科
738,5-7年经验,本科
739,1年经验,大专
740,3-4年经验,本科
741,2年经验,本科
742,3-4年经验,本科
743,1年经验,大专
744,2年经验,本科
745,5-7年经验,本科
746,在校生/应届生,本科
747,3-4年经验,本科
748,2年经验,本科
749,在校生/应届生,本科
750,1年经验,大专
751,1年经验,大专
752,在校生/应届生,大专
753,在校生/应届生,本科
754,3-4年经验,本科
